seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s
28,brownout,naive_retry,524,1.0,0,95,812.9999999999947,1551.526717557242,1.5209923664122138,148.82696455162386,441.2550119847979,480.92112248166904,,,,,
29,brownout,naive_retry,535,0.9962616822429906,0,92,816.5999999999946,1532.0825515947365,1.5065420560747664,134.63156142424668,423.6732301974239,533.0702181309075,,,,,
30,brownout,naive_retry,512,0.9921875,0,92,803.5999999999946,1581.889763779517,1.5546875,136.05390425168957,433.9116605202835,549.4828486219267,,,,,
1,brownout,sync_gateway,513,0.7758284600389863,0,0,551.3999999999983,1385.4271356783877,1.1812865497076024,105.47920598327016,440.9092084780059,683.4927224171815,,,,,
2,brownout,sync_gateway,540,0.7870370370370371,0,0,587.5999999999974,1382.5882352941114,1.2203703703703703,103.16220218932574,435.70538693776234,659.8371428435157,,,,,
3,brownout,sync_gateway,526,0.7756653992395437,0,0,562.3999999999982,1378.4313725490151,1.1711026615969582,105.70053816956602,445.8001955250227,653.7737012062739,,,,,
4,brownout,sync_gateway,549,0.8069216757741348,0,0,608.9999999999968,1374.7178329571034,1.2714025500910746,100.6497153671121,420.56147410218864,689.4886054218259,,,,,
5,brownout,sync_gateway,522,0.8122605363984674,0,0,562.1999999999978,1325.9433962264097,1.1915708812260537,110.79730899353035,412.1106571904752,638.1306454224268,,,,,
6,brownout,sync_gateway,563,0.783303730017762,0,0,611.7999999999975,1387.3015873015815,1.2149200710479573,110.6292952903238,433.75253285387134,551.4121532952445,,,,,
7,brownout,sync_gateway,540,0.8203703703703704,0,0,589.3999999999972,1330.474040632048,1.2277777777777779,106.98391470352624,427.7709933234105,837.3654211466169,,,,,
8,brownout,sync_gateway,545,0.7853211009174312,0,0,593.3999999999975,1386.4485981308353,1.2201834862385321,101.38588259952235,414.836624174118,568.4870830510563,,,,,
9,brownout,sync_gateway,595,0.7949579831932773,0,0,655.3999999999967,1385.6236786469274,1.2521008403361344,104.27205262507368,421.7244892675708,617.5335177969682,,,,,
10,brownout,sync_gateway,518,0.7451737451737451,0,0,563.1999999999975,1459.067357512947,1.218146718146718,99.74754585332175,357.13487299293183,492.4309202775089,,,,,
11,brownout,sync_gateway,542,0.7804428044280443,0,0,587.7999999999976,1389.5981087470393,1.2103321033210332,107.72605584016424,411.78425143328695,595.5172152562964,,,,,
